Vr(m/s),,,,,,,,,
r/m,h1/m,h2/m,h3/m,h4/m,h5/m,h6/m,h7/m,h8/m,h9/m
0.27750,-2.10512,-2.11619,-2.10995,-2.10193,-2.09410,-2.08700,-2.08009,-2.07331,-2.06658
0.28250,-2.12475,-2.13721,-2.13143,-2.12379,-2.11646,-2.10992,-2.10356,-2.09730,-2.09107
0.28626,-2.13912,-2.15216,-2.14654,-2.13917,-2.13223,-2.12611,-2.12015,-2.11426,-2.10837
0.29001,-2.15310,-2.16647,-2.16091,-2.15383,-2.14727,-2.14157,-2.13598,-2.13045,-2.12491
0.29376,-2.16666,-2.18011,-2.17455,-2.16774,-2.16159,-2.15629,-2.15106,-2.14587,-2.14067
0.29750,-2.17973,-2.19305,-2.18743,-2.18092,-2.17517,-2.17025,-2.16537,-2.16050,-2.15564
0.30250,-2.19610,-2.20885,-2.20312,-2.19702,-2.19180,-2.18737,-2.18291,-2.17846,-2.17401
0.30626,-2.20745,-2.21954,-2.21372,-2.20795,-2.20312,-2.19902,-2.19486,-2.19071,-2.18656
0.31001,-2.21807,-2.22939,-2.22350,-2.21806,-2.21361,-2.20982,-2.20594,-2.20208,-2.19822
0.31376,-2.22793,-2.23837,-2.23244,-2.22734,-2.22325,-2.21975,-2.21615,-2.21257,-2.20899
0.31750,-2.23699,-2.24648,-2.24053,-2.23577,-2.23204,-2.22881,-2.22547,-2.22216,-2.21885
0.32250,-2.24741,-2.25550,-2.24960,-2.24530,-2.24200,-2.23911,-2.23609,-2.23312,-2.23015
0.32626,-2.25387,-2.26086,-2.25507,-2.25110,-2.24811,-2.24543,-2.24264,-2.23992,-2.23719
0.33001,-2.25936,-2.26523,-2.25959,-2.25595,-2.25324,-2.25076,-2.24821,-2.24571,-2.24322
0.33376,-2.26386,-2.26861,-2.26316,-2.25984,-2.25739,-2.25511,-2.25278,-2.25050,-2.24823
0.33750,-2.26733,-2.27098,-2.26576,-2.26275,-2.26055,-2.25845,-2.25633,-2.25426,-2.25221
0.34250,-2.26983,-2.27208,-2.26724,-2.26461,-2.26270,-2.26083,-2.25898,-2.25717,-2.25539
0.34626,-2.27002,-2.27131,-2.26679,-2.26442,-2.26272,-2.26101,-2.25935,-2.25773,-2.25615
0.35001,-2.26904,-2.26945,-2.26528,-2.26315,-2.26164,-2.26008,-2.25861,-2.25716,-2.25577
0.35376,-2.26688,-2.26649,-2.26268,-2.26077,-2.25945,-2.25804,-2.25675,-2.25547,-2.25425
0.35750,-2.26352,-2.26242,-2.25897,-2.25727,-2.25613,-2.25487,-2.25375,-2.25263,-2.25158
0.36250,-2.25656,-2.25468,-2.25172,-2.25029,-2.24939,-2.24831,-2.24741,-2.24649,-2.24565
0.36626,-2.24948,-2.24713,-2.24454,-2.24329,-2.24256,-2.24161,-2.24087,-2.24008,-2.23938
0.37001,-2.24110,-2.23839,-2.23618,-2.23510,-2.23452,-2.23370,-2.23310,-2.23244,-2.23187
0.37376,-2.23134,-2.22838,-2.22656,-2.22567,-2.22527,-2.22458,-2.22411,-2.22357,-2.22311
0.37750,-2.22012,-2.21701,-2.21561,-2.21495,-2.21475,-2.21422,-2.21388,-2.21346,-2.21310
0.38250,-2.20269,-2.19946,-2.19862,-2.19829,-2.19831,-2.19794,-2.19774,-2.19745,-2.19720
0.38626,-2.18874,-2.18568,-2.18511,-2.18464,-2.18444,-2.18400,-2.18377,-2.18352,-2.18332
0.39001,-2.17267,-2.16992,-2.16977,-2.16934,-2.16907,-2.16867,-2.16846,-2.16827,-2.16814
0.39376,-2.15334,-2.15183,-2.15213,-2.15222,-2.15220,-2.15206,-2.15200,-2.15191,-2.15183
0.39750,-2.12957,-2.13105,-2.13172,-2.13306,-2.13384,-2.13429,-2.13456,-2.13462,-2.13460
