
[Name]
fsi

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-2.22463202e+000, 5.46766520e+000, 1.84382202e+002, 3.36506424e+001
1.07612553e+001, 1.45873680e+001, 6.22518349e+001, 1.30073633e+003
1.11760674e+001, 1.46690836e+001, 6.22888298e+001, 1.22364429e+003
1.12441559e+001, 1.44511051e+001, 6.20246773e+001, 1.51922717e+003
1.10560741e+001, 1.45160656e+001, 6.18122787e+001, 1.63519507e+003
1.05946064e+001, 1.44501104e+001, 6.19956360e+001, 1.56939612e+003
2.77820563e+000, 1.25569267e+001, 2.41566742e+002, -1.00258313e+003
-2.25424337e+000, 2.29345722e+001, 2.19116119e+002, -1.88048071e+003
-2.22691417e+000, 2.26534157e+001, 2.18866516e+002, -2.01914355e+003
3.19339442e+000, 1.00601978e+001, 2.45186234e+002, -1.15580566e+003
3.01863575e+000, 9.78341579e+000, 2.45394867e+002, -1.25605554e+003
3.14381146e+000, 1.02087870e+001, 2.45432022e+002, -1.19198218e+003
-4.34505510e+000, 8.60070515e+000, 1.29610931e+002, 1.18694104e+003
-4.85138750e+000, 8.72984886e+000, 1.29635895e+002, 1.06755798e+003
-4.49925280e+000, 8.37885666e+000, 1.29719620e+002, 7.93466858e+002
-2.20388937e+000, -1.72173996e+001, 2.47063538e+002, 1.12373352e+003
3.33975887e+000, -7.95369053e+000, 2.44860764e+002, -7.34144348e+002
3.36591744e+000, -8.48414707e+000, 2.44716049e+002, -5.41487541e+001
3.29443336e+000, -8.41325951e+000, 2.44984131e+002, -7.04211609e+002
3.43667793e+000, 1.02819223e+001, 2.21332062e+002, -2.50157104e+003
3.39417648e+000, 9.80692101e+000, 2.21410934e+002, -1.23862451e+003
3.61256909e+000, 9.76737881e+000, 2.21569931e+002, -2.98409839e+003
3.42855501e+000, 9.36756134e+000, 2.21505005e+002, -8.80868408e+002
3.08640814e+000, 9.71575356e+000, 2.21596863e+002, 1.75212170e+003
-2.05100942e+000, 3.88583207e+000, 2.22732483e+002, 3.81705139e+002
-3.44801259e+000, 5.19916534e+000, 2.22466858e+002, -1.77506030e+003
2.16794014e+000, -1.85171089e+001, 2.47748901e+002, -2.23484650e+002
3.14266610e+000, 1.05505104e+001, 2.45347092e+002, -4.32885437e+002
2.89763618e+000, 1.01944227e+001, 2.45490402e+002, -1.22328015e+003
3.05252934e+000, 1.05946369e+001, 2.45584198e+002, -1.42642822e+003
6.92380047e+000, 6.54103851e+000, 1.51938843e+002, -5.49346863e+002
-2.22441125e+000, -1.82334881e+001, 2.44513977e+002, 1.18944397e+003
-2.16066694e+000, -1.81580486e+001, 2.44216522e+002, 9.99720337e+002
-2.24778032e+000, -1.77181053e+001, 2.44349197e+002, 1.16769519e+003
1.80963016e+000, -1.92266712e+001, 2.37229828e+002, 1.10828052e+003
1.69543827e+000, -1.89069996e+001, 2.37373703e+002, 2.71173682e+003
3.41144657e+000, 5.35351753e+000, 2.43814255e+002, 5.35054749e+002
3.61064982e+000, 5.42191696e+000, 2.43766968e+002, -2.37614746e+002
3.41858625e+000, 6.00603676e+000, 2.43936844e+002, 5.40200928e+002
-2.89532161e+000, 9.30533981e+000, 2.41850449e+002, -1.49546741e+003
-3.06741691e+000, 8.89344120e+000, 2.41892273e+002, -7.91330078e+002
-2.82647872e+000, 9.11287785e+000, 2.42213715e+002, -1.50618823e+003
-2.71825933e+000, 9.93376255e+000, 2.41907333e+002, -2.10121582e+003
-3.02721667e+000, 9.66809845e+000, 2.41688156e+002, -9.66543152e+002
4.18340015e+000, 3.15145445e+000, 2.20934631e+002, -6.41922424e+002
3.98710346e+000, 3.04970670e+000, 2.21512329e+002, -1.05455945e+003
4.44227552e+000, 3.48964787e+000, 2.21354156e+002, -9.37721939e+001
3.47134662e+000, 8.36298656e+000, 2.21715118e+002, -7.20263855e+002
3.25789976e+000, 8.23713207e+000, 2.21812805e+002, 1.86263354e+003
3.48864198e+000, 7.99437857e+000, 2.21792892e+002, -7.32452087e+002
3.70835137e+000, 8.29757214e+000, 2.21880386e+002, -2.48138208e+003
3.48928308e+000, 8.78228951e+000, 2.21634384e+002, -1.04972778e+003
-1.91578400e+000, -1.78987370e+001, 2.47584381e+002, -4.35659424e+002
-2.01413989e+000, -1.69317131e+001, 2.47287598e+002, -3.76653381e+002
-1.82995701e+001, -1.38846140e+001, 3.22231026e+001, 1.48301550e+003
-1.87878685e+001, -1.37512798e+001, 3.20840454e+001, 2.45105957e+003
-1.84511528e+001, -1.34800291e+001, 3.22958298e+001, 1.57524048e+003
-1.85072403e+001, -1.42559462e+001, 3.22998123e+001, 1.14438965e+003
-1.87550526e+001, -1.41713028e+001, 3.21578979e+001, 2.18452637e+003
-1.83704739e+001, -3.34380245e+000, 3.22705765e+001, 9.07006042e+002
-1.87732048e+001, -3.28883910e+000, 3.21238670e+001, 2.21424854e+003
-1.82982597e+001, -2.90491295e+000, 3.22219963e+001, 1.11445837e+003
-1.87857018e+001, -2.32466745e+000, 3.20915146e+001, 2.27147852e+003
-1.83718853e+001, -1.85993063e+000, 3.22712402e+001, 1.12871826e+003
-1.83423252e+001, -2.33629608e+000, 3.22551880e+001, 1.31021265e+003
-3.54883575e+000, -7.13730145e+000, 2.39529831e+002, 6.31230835e+002
-3.28515625e+000, -7.60642767e+000, 2.39932755e+002, 6.91885864e+002
-3.47628164e+000, -7.48928833e+000, 2.39532623e+002, 1.75555652e+003
-3.35133123e+000, -6.99965429e+000, 2.39227219e+002, 7.67798828e+002
-3.22901535e+000, -7.39984989e+000, 2.39431549e+002, 2.33504684e+002
3.01097059e+000, 3.71885848e+000, 2.43201767e+002, 1.11405859e+003
2.66166854e+000, 3.87344670e+000, 2.43226593e+002, 9.52425903e+002
2.73948431e+000, 3.48565555e+000, 2.43358551e+002, 1.13372742e+003
-3.16086960e+000, 6.61158848e+000, 2.42936966e+002, -1.37524927e+003
-3.17817616e+000, 6.11152983e+000, 2.42817001e+002, -2.19991821e+003
-3.67891145e+000, 6.33682871e+000, 2.43044968e+002, -4.31040558e+002
-3.67011404e+000, 6.82580137e+000, 2.42834763e+002, 2.14255188e+002
-2.78648329e+000, -1.27254801e+001, 2.46189651e+002, 4.62467377e+002
-2.55244184e+000, -1.21870613e+001, 2.45860184e+002, -4.45625977e+002
-2.46760917e+000, -1.30481348e+001, 2.46189896e+002, -6.16311646e+002
3.19512963e+000, -5.99881411e+000, 2.42832886e+002, 1.41068384e+003
3.32106686e+000, -5.39336109e+000, 2.42881577e+002, 1.35540552e+003
3.27332020e+000, -5.69955063e+000, 2.43176239e+002, 6.40647034e+002
5.63440561e+000, 6.40001154e+000, 1.65370544e+002, 1.69720740e+003
5.96434879e+000, 5.76959515e+000, 1.65242523e+002, 3.16630459e+001
5.69913483e+000, 6.21934938e+000, 1.64734604e+002, 1.73968445e+003
1.58250952e+000, -1.82869186e+001, 3.22111702e+001, 2.13249341e+003
1.37063277e+000, -1.82104130e+001, 3.20782242e+001, 2.22574292e+003
1.71768963e+000, -1.82666283e+001, 3.18115292e+001, 2.24895972e+003
-8.63468266e+000, -7.62373352e+000, 1.35425964e+002, 6.81204163e+002
-8.12912464e+000, -7.49780607e+000, 1.35911713e+002, -1.68201645e+002
-8.77788830e+000, -7.73495197e+000, 1.36075974e+002, 1.81348303e+003
-6.06095791e-001, -8.32611465e+000, 1.30007126e+002, 1.41750269e+003
-1.02147853e+000, -8.63690472e+000, 1.30209244e+002, 1.23588977e+003
-1.09535027e+000, -8.36279392e+000, 1.30080460e+002, 1.34745056e+003
-3.27950120e+000, 5.31979132e+000, 1.84697540e+002, -7.64959335e+001
-3.17687845e+000, 5.43976402e+000, 1.84300110e+002, 1.48337540e+002
-2.91437769e+000, 5.43811226e+000, 1.84576096e+002, -1.54846222e+002
1.97021163e+000, 2.04537315e+001, 2.45476837e+002, -2.90043652e+003
1.90771008e+000, 2.06020660e+001, 2.45334061e+002, -3.82798950e+003
2.00741029e+000, 2.01687508e+001, 2.45238907e+002, -2.96809497e+003
1.71512461e+000, 2.05492344e+001, 2.45257553e+002, -7.90658813e+002
1.81940269e+000, 2.04240932e+001, 2.45194199e+002, -2.90125635e+003
-1.09858406e+000, 2.44965267e+001, 2.49312988e+002, -1.90666101e+003
-2.12959146e+000, -2.99850292e+001, 2.17142899e+002, 2.04497083e+003
-1.82867837e+000, -2.98973236e+001, 2.17214722e+002, 6.96634949e+002
-2.27507734e+000, -2.97030754e+001, 2.17298920e+002, 2.54833789e+003
-2.97578239e+000, -1.92910843e+001, 2.19530823e+002, 2.67975977e+003
-2.98592854e+000, -1.96253777e+001, 2.19740997e+002, 1.46789063e+003
-2.71233487e+000, -1.94991646e+001, 2.19348526e+002, 1.29361987e+003
-2.96886659e+000, -2.01795330e+001, 2.19514328e+002, 1.93982019e+003
-4.66107273e+000, 8.31609344e+000, 1.29970062e+002, 5.12326050e+002
-4.14804888e+000, 8.34279919e+000, 1.29774582e+002, 6.25667297e+002
3.28918099e+000, -1.43261566e+001, 2.20947739e+002, -8.72716217e+001
3.32177496e+000, -1.47751522e+001, 2.20704361e+002, -5.00357147e+002
3.00104380e+000, -1.47696056e+001, 2.20964951e+002, 3.44126984e+002
-1.27466774e+000, -3.64186621e+000, 2.43779709e+002, -1.76578247e+002
-1.67219138e+000, -3.45405483e+000, 2.43547073e+002, 6.12440796e+001
-9.55133855e-001, -3.48283267e+000, 2.43635788e+002, -1.96411652e+002
-1.62780361e+001, -1.70451508e+001, 4.38171425e+001, 1.90696777e+003
-1.63789082e+001, -1.74185772e+001, 4.43751297e+001, 1.49632446e+003
-1.62240181e+001, -1.68773212e+001, 4.42768097e+001, 1.90261108e+003
-1.43481410e+000, 5.24723625e+000, 1.84726776e+002, 3.29227539e+002
-1.91386831e+000, 5.46176863e+000, 1.84516037e+002, 1.16744354e+002
-1.24922228e+000, 5.45455122e+000, 1.84538742e+002, 1.69585068e+002
-1.87687798e+001, 1.33956690e+001, 3.21329918e+001, 9.60854614e+002
-1.86109390e+001, 1.37257967e+001, 3.22786293e+001, -1.14747961e+003
-1.83668137e+001, 1.34335632e+001, 3.22687531e+001, -4.08875092e+002
-1.87747879e+001, 1.39004507e+001, 3.21201630e+001, 1.49956665e+003
-1.86644745e+001, 1.42177029e+001, 3.22505951e+001, -4.36268311e+002
-3.69071078e+000, -8.83450031e+000, 2.14880264e+002, 2.29776563e+003
-3.67730522e+000, -9.23410988e+000, 2.15085007e+002, 1.03549829e+003
-3.33865166e+000, -9.10210705e+000, 2.14706039e+002, 1.38438904e+002
-3.65103006e+000, -9.78629494e+000, 2.15035278e+002, 1.44996582e+003
-3.54648471e+000, -9.76101589e+000, 2.14769409e+002, 2.33051318e+003
-3.52204680e+000, -9.46888828e+000, 2.14739532e+002, 1.94636072e+003
1.47795534e+001, -3.36871409e+000, 6.17016373e+001, -8.77713089e+001
1.47876759e+001, -3.97424698e+000, 6.17024422e+001, -3.61844940e+002
1.50144529e+001, -3.61459947e+000, 6.18583794e+001, -9.30633316e+001
2.77736521e+000, 1.19937868e+001, 2.41097275e+002, -9.06574768e+002
2.98089957e+000, 1.27474823e+001, 2.41296844e+002, -1.98891052e+003
2.70384169e+000, 1.24806395e+001, 2.40973495e+002, -1.01095898e+003
-2.62030983e+000, 2.43047104e+001, 2.15199966e+002, -7.72113159e+002
-2.35211396e+000, 2.44066238e+001, 2.14702698e+002, -4.85200104e+002
-2.50631046e+000, 2.48334217e+001, 2.14737198e+002, -2.54700668e+002
1.56662121e+001, 1.87978687e+001, 3.19644966e+001, 1.23565369e+003
1.57496328e+001, 1.87016068e+001, 3.17778645e+001, 1.26269568e+003
1.61793747e+001, 1.87901115e+001, 3.20763397e+001, 1.17265588e+003
1.57078094e+001, 1.87324543e+001, 3.21895447e+001, 1.28715820e+003
1.51168060e+001, 1.87739220e+001, 3.21222801e+001, 1.15262952e+003
1.42526340e+001, 1.84991608e+001, 3.17000122e+001, 1.34391772e+003
1.42170410e+001, 1.82199287e+001, 3.18925533e+001, 1.82364673e+003
1.46524811e+001, 1.86797943e+001, 3.17598495e+001, 1.22839050e+003
-3.87963319e+000, 1.77761209e+000, 2.15270599e+002, 8.89879913e+001
-4.04993773e+000, 2.09889936e+000, 2.15010544e+002, 2.02768140e+003
-3.97157311e+000, 2.45087886e+000, 2.15202408e+002, 3.49325684e+002
-3.89902282e+000, -5.21587074e-001, 2.15260193e+002, 1.34856934e+002
