[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -70.71 [m], -70.71 [m], 0 [m]
Axis 3 Point = -70.71 [m], -70.71 [m], 1 [m]
Plane 13 Point = 0 [m], -70.71 [m], 0 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-2.89174652e+000, 1.05986786e+001, 2.40834595e+002, 1.27743179e+002
-3.16470337e+000, 4.20154572e+000, 2.38424072e+002, 4.65434456e+001
-3.30016327e+000, 4.33665466e+000, 2.38691193e+002, 6.25358820e+000
-3.50836182e+000, 4.44957733e+000, 2.38452866e+002, -3.18555756e+002
-3.30595398e+000, 6.31336212e+000, 2.44074188e+002, 2.43814575e+002
-3.33566284e+000, 6.78523254e+000, 2.44151733e+002, 5.64803406e+002
2.85698700e+000, 9.70214462e+000, 2.45103638e+002, 9.95694336e+002
2.84037781e+000, 1.01555824e+001, 2.45162384e+002, 1.18196765e+003
2.87631226e+000, 9.77544785e+000, 2.45313522e+002, -1.38311508e+002
-7.06500244e+000, -7.43656158e+000, 1.59251404e+002, -1.07262268e+003
-7.30860901e+000, -7.30031586e+000, 1.58951080e+002, -8.52798767e+002
-7.29957581e+000, -7.23556519e+000, 1.59521439e+002, -9.64570190e+002
-3.28927612e+000, -7.46113586e+000, 2.15207733e+002, -6.11830759e+000
-3.19615936e+000, -7.85874176e+000, 2.14901230e+002, 2.36834518e+002
-3.39476776e+000, -7.88652039e+000, 2.15288284e+002, -2.02659531e+002
1.67906952e+000, -3.22132950e+001, 2.16584274e+002, 8.05701904e+002
1.91384125e+000, -3.22989273e+001, 2.15900696e+002, 7.12471252e+002
1.59054565e+000, -3.20161057e+001, 2.16286835e+002, 1.81162354e+003
-3.15299225e+000, 9.11265945e+000, 2.21679352e+002, 4.88761444e+002
-3.06383514e+000, 9.77067566e+000, 2.21636230e+002, 4.36439209e+002
-3.55712891e+000, 9.16701508e+000, 2.21594696e+002, 1.54555371e+003
1.74492645e+000, 3.01505051e+001, 2.15137665e+002, -3.33822479e+001
1.80281067e+000, 2.97437744e+001, 2.14814056e+002, 8.63014343e+002
1.71009064e+000, 3.04282112e+001, 2.14900558e+002, 8.03357788e+002
5.10110474e+000, 8.32994843e+000, 1.29803284e+002, 4.37667938e+002
4.50283051e+000, 8.31181335e+000, 1.29879349e+002, 2.93596344e+002
4.63574219e+000, 8.48275375e+000, 1.30182098e+002, 1.13064537e+002
2.49777222e+000, 2.69570274e+001, 2.15118835e+002, -3.69533844e+002
2.51300812e+000, 2.65173836e+001, 2.15147003e+002, -2.20175537e+002
3.51424408e+000, 8.42049408e+000, 2.14708954e+002, 2.22928867e+001
3.33102417e+000, 8.92395020e+000, 2.14710587e+002, 1.27172632e+003
2.04386139e+000, -2.78633423e+001, 2.18158356e+002, 4.70349884e+002
1.98474884e+000, -2.73547974e+001, 2.18201843e+002, 4.17861694e+002
2.22690582e+000, -2.75580368e+001, 2.18247025e+002, 2.75325714e+002
2.46690369e+000, -2.59724884e+001, 2.14760178e+002, 1.07264905e+003
-4.80210114e+000, 6.88819122e+000, 1.59720520e+002, -2.23963943e+002
-4.41766357e+000, 7.01559448e+000, 1.59590149e+002, 3.01413788e+002
-4.57633209e+000, 6.74829865e+000, 1.59755844e+002, -5.46427673e+002
9.11613464e-001, 1.12882614e+001, 9.19174271e+001, 1.54188147e+003
5.48210144e-001, 1.11251183e+001, 9.17275848e+001, 9.38230286e+002
1.10623169e+000, 1.10473900e+001, 9.17039490e+001, 7.08671570e+002
9.52156067e-001, 1.08022003e+001, 9.17748337e+001, -1.74315933e+002
1.57450867e+000, 1.08850174e+001, 9.17231750e+001, 2.18909561e+002
8.86699677e+000, -4.05037689e+000, 1.29755859e+002, -3.29940491e+002
8.49335861e+000, -4.08291626e+000, 1.29634537e+002, 5.64063721e+002
8.90844727e+000, -4.41022491e+000, 1.29881058e+002, -1.72411163e+002
-6.58583069e+000, -6.19770813e+000, 1.72827667e+002, -4.15155426e+002
-6.47905731e+000, -6.43053436e+000, 1.72411697e+002, -1.15428308e+003
-6.66638947e+000, -5.90735626e+000, 1.72489120e+002, 1.06791968e+003
-6.60152435e+000, -5.96457672e+000, 1.73423401e+002, 4.82888397e+002
-6.63034821e+000, -5.79085541e+000, 1.72933014e+002, 1.48369751e+003
-6.67333221e+000, -3.71086121e+000, 1.59746338e+002, 2.13122406e+002
-6.44980621e+000, -3.12837219e+000, 1.59493225e+002, 3.28492035e+002
-6.45642853e+000, -3.65218353e+000, 1.59528473e+002, 4.63685303e+002
3.21145630e+000, 7.37853622e+000, 2.22244110e+002, 1.22236646e+003
3.40271759e+000, 8.02065659e+000, 2.22390839e+002, 5.18301147e+002
3.34860992e+000, 7.40755463e+000, 2.22480118e+002, -7.40235825e+001
3.11536407e+000, 8.48227310e+000, 2.38139725e+002, 2.69498627e+002
2.89793396e+000, 8.48481369e+000, 2.37777206e+002, 1.21580566e+003
2.81541443e+000, 9.14760590e+000, 2.37880234e+002, 7.34919922e+002
3.40953827e+000, 9.03092194e+000, 2.37729248e+002, -6.87511673e+001
3.45358276e+000, 8.60870743e+000, 2.37728302e+002, -5.39535339e+002
3.39202881e+000, 8.81911087e+000, 2.38020996e+002, 1.14131287e+002
3.11494446e+000, -1.28618469e+001, 2.21368500e+002, -1.82051376e+002
2.82857513e+000, -1.32546844e+001, 2.21030914e+002, 1.26306555e+003
2.85569763e+000, -1.27800827e+001, 2.21094589e+002, 1.20919495e+003
-1.88048553e+000, -2.78844681e+001, 2.14892456e+002, 8.08587402e+002
-2.01325989e+000, -2.76467743e+001, 2.15251770e+002, 4.63741302e+002
-2.08222961e+000, -2.76705475e+001, 2.14715027e+002, 1.35398987e+003
-2.42194366e+000, -2.60761948e+001, 2.17990128e+002, 1.72681238e+003
-2.52886963e+000, -2.56981583e+001, 2.18545639e+002, 8.50742310e+002
-2.47160339e+000, -2.62081833e+001, 2.18461197e+002, 1.31850171e+003
8.79281235e+000, -1.44503250e+001, 6.20104294e+001, 1.92185486e+003
9.20069885e+000, -1.45400238e+001, 6.22141190e+001, 1.46798547e+003
8.48182297e+000, -1.45523682e+001, 6.22253075e+001, 1.49309668e+003
9.04092789e+000, -1.07446518e+001, 9.21574707e+001, 1.77547107e+003
8.47375870e+000, -1.09719696e+001, 9.22985764e+001, 1.13595972e+003
8.53549576e+000, -1.07007675e+001, 9.19789505e+001, 1.86188196e+003
9.33733368e+000, -1.08060608e+001, 9.22287064e+001, 1.72341968e+003
9.02644348e+000, -1.07403564e+001, 9.18498306e+001, 2.17448364e+003
9.66514587e+000, -1.07765732e+001, 9.17998505e+001, 2.30144824e+003
-1.89659882e+000, -1.74984207e+001, 2.37368027e+002, 4.22031281e+002
-3.20614624e+000, -5.80023956e+000, 2.42980042e+002, -4.66742126e+002
-3.27687836e+000, -5.22560120e+000, 2.43159439e+002, -8.05093079e+002
-3.31526184e+000, -5.72666931e+000, 2.42761719e+002, -8.46304993e+002
-3.42039490e+000, -5.11872864e+000, 2.42890503e+002, -1.60571030e+002
-3.32424164e+000, -4.80362701e+000, 2.43205139e+002, -8.30149353e+002
-3.51780701e+000, -4.45275879e+000, 2.43048294e+002, -1.19825279e+002
3.06417847e+000, -1.21130447e+001, 2.41391876e+002, -9.50119385e+002
2.75423431e+000, -1.23389511e+001, 2.41010437e+002, 4.94485474e+001
3.00341034e+000, -1.24607391e+001, 2.41186218e+002, -6.20762146e+002
2.92447662e+000, -1.18602905e+001, 2.41166046e+002, -8.69202637e+002
3.41476440e+000, -1.31054535e+001, 2.15107361e+002, 5.32419922e+002
3.17868805e+000, -1.27646637e+001, 2.15299011e+002, 2.38023758e+002
3.42262268e+000, -1.29847565e+001, 2.14892380e+002, -2.02791489e+002
3.31023407e+000, -1.33885727e+001, 2.15228226e+002, 8.07340088e+001
3.27117157e+000, -1.31885834e+001, 2.15263947e+002, -3.09434113e+002
1.61602020e+000, 3.21216774e+001, 2.15405182e+002, 9.37877197e+002
3.56149292e+000, -5.48760986e+000, 2.22332932e+002, 6.10205811e+002
3.38874817e+000, -5.62611389e+000, 2.22410919e+002, 1.76525500e+003
3.61864471e+000, -5.89717865e+000, 2.22237762e+002, 4.52623505e+002
3.89989471e+000, -5.54360962e+000, 2.22483521e+002, -5.59648804e+002
3.76502991e+000, -5.09262085e+000, 2.22428329e+002, 7.94123535e+001
-3.25334930e+000, 1.38562317e+001, 2.15248138e+002, 5.51886597e+002
-3.04518127e+000, 1.34587059e+001, 2.15292389e+002, 2.38088013e+002
-3.39772797e+000, 1.36146355e+001, 2.14955917e+002, 1.26646912e+003
2.87150574e+000, 1.98577080e+001, 2.15238403e+002, -1.41652191e+002
2.92382813e+000, 1.92846870e+001, 2.15226563e+002, -2.08804199e+002
2.68195343e+000, 1.95902214e+001, 2.15298874e+002, -6.85037354e+002
-1.44501495e+001, 1.79113007e+000, 6.20046158e+001, 1.28497400e+003
-1.45555191e+001, 1.71030426e+000, 6.22279320e+001, 7.68901672e+002
-1.45014801e+001, 2.21100616e+000, 6.21679039e+001, 9.66466492e+002
-1.47967834e+001, 1.74520111e+000, 6.22961502e+001, 3.75989166e+002
-1.46856613e+001, 1.90904999e+000, 6.22929115e+001, 7.50928589e+002
-1.82807159e+000, -1.74979706e+001, 2.37608765e+002, 3.08830322e+002
-1.96264648e+000, -1.70611115e+001, 2.37786880e+002, 5.46713501e+002
-1.97832489e+000, -1.68836441e+001, 2.37377823e+002, 1.76936401e+002
-3.46178436e+000, 6.08271027e+000, 2.39255386e+002, 3.78311890e+002
-3.63601685e+000, 5.61586761e+000, 2.39009247e+002, 4.68260406e+002
-3.56815338e+000, 5.99172211e+000, 2.38792633e+002, 1.13651978e+003
-3.34343719e+000, 5.54039001e+000, 2.38858505e+002, -5.91078003e+002
-3.43778992e+000, 4.97432709e+000, 2.38673248e+002, -9.79164551e+002
2.59013367e+000, 1.45164108e+001, 2.42597580e+002, 5.54813477e+002
-2.02009583e+000, 1.87692986e+001, 2.39992889e+002, -4.17893951e+002
-2.76424408e+000, 1.22640114e+001, 2.45674530e+002, 7.58865784e+002
-2.94640350e+000, 1.22202072e+001, 2.45908020e+002, 2.78204041e+002
-2.56221008e+000, 1.12712593e+001, 2.37724640e+002, -3.00679874e+001
-2.81899261e+000, 1.16344910e+001, 2.38049850e+002, 2.41453476e+001
-2.52217865e+000, 1.15899162e+001, 2.37750000e+002, 6.58062286e+001
-1.89048004e+000, 1.79246788e+001, 2.39650482e+002, -2.40762501e+001
-1.83587646e+000, 1.85738792e+001, 2.39470367e+002, 2.57486515e+001
-2.19355774e+000, 1.85596657e+001, 2.39506226e+002, 1.24467505e+003
1.07004013e+001, 5.50254059e+000, 9.19871902e+001, 1.39368250e+003
1.07003136e+001, 4.92743683e+000, 9.20100327e+001, 1.42679688e+003
1.09036484e+001, 5.24774170e+000, 9.17161636e+001, -2.02970215e+002
1.07567062e+001, 5.83089447e+000, 9.18246613e+001, 1.40456799e+003
1.07963943e+001, 5.52596283e+000, 9.17796707e+001, 8.96928223e+002
1.10276146e+001, 5.79727173e+000, 9.17014465e+001, -6.20469604e+002
2.37440491e+000, 1.37856178e+001, 2.46380402e+002, -4.30956635e+002
2.40639496e+000, 1.34543800e+001, 2.46259781e+002, 3.12096283e+002
2.42412567e+000, 1.38588448e+001, 2.46175873e+002, 1.18594751e+003
2.44484711e+000, 1.32019157e+001, 2.46079315e+002, 1.10555017e+003
2.50431061e+000, 1.29745979e+001, 2.46215988e+002, 2.13627808e+002
-2.56479645e+000, 1.45648117e+001, 2.42996033e+002, -5.76275818e+002
9.96418381e+000, -9.32189178e+000, 1.06948135e+002, -1.63946487e+002
9.59707260e+000, -9.40068054e+000, 1.07632294e+002, 1.55114563e+003
9.48961639e+000, -9.58104706e+000, 1.06934555e+002, 2.47856689e+003
-2.68585205e+000, 1.03568611e+001, 2.41708435e+002, -9.13575287e+001
-2.61618805e+000, 1.11009903e+001, 2.41771896e+002, 3.65985718e+001
-2.84096527e+000, 1.08897285e+001, 2.41382980e+002, -6.23674561e+002
-1.41959381e+000, 2.18090706e+001, 2.48597549e+002, -9.26311218e+002
-1.48972321e+000, 2.18376083e+001, 2.48400772e+002, 1.96625412e+002
-1.47803497e+000, 2.12836380e+001, 2.48412918e+002, -2.83429443e+002
7.09687805e+000, 6.05428314e+000, 1.62779678e+002, 4.74884911e+001
6.79227448e+000, 5.86753082e+000, 1.62191574e+002, -2.86765930e+002
6.57972717e+000, 5.80128479e+000, 1.62733444e+002, -8.26504211e+002
6.56331635e+000, 5.86185455e+000, 1.61767426e+002, -9.29683472e+002
