[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -86.603 [m], -50 [m], 0 [m]
Axis 3 Point = -86.603 [m], -50 [m], 1 [m]
Plane 13 Point = -86 [m], -50 [m], 1 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-2.87759399e+000, -1.86236954e+001, 2.20128845e+002, -2.88538849e+002
-3.07154083e+000, -1.85979614e+001, 2.19880173e+002, 7.01512878e+002
2.50190735e+000, -2.07239838e+001, 2.19669128e+002, -3.73316895e+002
2.65734863e+000, -2.03163071e+001, 2.19787933e+002, -3.24332062e+002
2.86729431e+000, -2.05900955e+001, 2.19628159e+002, -1.39148499e+002
-7.46757507e-001, 1.86358223e+001, 3.22674713e+001, 7.90681030e+002
-9.65408325e-001, 1.87995853e+001, 3.19844646e+001, 2.43457202e+003
-3.95332336e-001, 1.87834988e+001, 3.20980339e+001, 2.11879028e+003
0.00000000e+000, 1.85117340e+001, 3.22997398e+001, 7.98695984e+002
-5.22132874e-001, 1.82894402e+001, 3.22136421e+001, 3.32626190e+002
3.01681519e+000, -3.65239334e+000, 2.37395935e+002, 9.40754089e+002
3.19106293e+000, -3.26675415e+000, 2.37512314e+002, 2.44385986e+003
3.03341675e+000, -3.56682587e+000, 2.37762817e+002, 1.56638599e+003
3.03877258e+000, -3.95383835e+000, 2.37224533e+002, -8.10747375e+002
3.01830292e+000, -3.85687256e+000, 2.37720032e+002, -1.46589844e+003
-3.30411530e+000, 9.83763885e+000, 2.42094543e+002, 5.77866089e+002
-3.26422119e+000, 1.04205360e+001, 2.41804291e+002, 1.06756116e+003
-3.15681458e+000, 1.01953125e+001, 2.42125061e+002, 6.04359894e+001
2.26544952e+000, 2.20961342e+001, 2.14883362e+002, 7.89819580e+002
2.23899841e+000, 2.26309547e+001, 2.14864120e+002, 8.54450989e+002
-1.49462891e+000, 2.45243454e+001, 2.49342178e+002, 2.40487961e+002
-1.35648346e+000, 2.43584862e+001, 2.49060471e+002, 6.61586365e+002
-1.25430298e+000, 2.48010178e+001, 2.49181870e+002, -7.43417435e+001
-1.34452057e+000, 2.38340569e+001, 2.48914871e+002, 1.25449585e+002
